contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Loudloo (attributed to),,,P10322,,Loudloo (attributed to),Loudloo (attributed to)
,Fang Lu,,,P10323,,"Lu, Fang",Fang Lu
,Helen Lucas,,,P10324,,"Lucas, Helen",Helen Lucas
,Alexandre Lunois,,,P10325,,"Lunois, Alexandre",Alexandre Lunois
,Peter MacCallum,,,P10326,,"MacCallum, Peter",Peter MacCallum
,Jock MacDonald,,,P10327,,"MacDonald, Jock",Jock MacDonald
,John MacGregor,,,P10328,,"MacGregor, John",John MacGregor
,Peter MacKendrick,,,P10329,,"MacKendrick, Peter",Peter MacKendrick
,Gordon MacNamara,,,P10330,,"MacNamara, Gordon",Gordon MacNamara
,Liz Magor,,,P10331,,"Magor, Liz",Liz Magor
,Peter Mah,,,P10332,,"Mah, Peter",Peter Mah
,Alfred Manessier,,,P10333,,"Manessier, Alfred",Alfred Manessier
,George Manupelli,,,P10334,,"Manupelli, George",George Manupelli
,Lucie Angalakte Mapsalak (attributed to),,,P10335,,"Mapsalak (attributed to), Lucie Angalakte",Lucie Angalakte Mapsalak (attributed to)
,Gilbert Marion,,,P10336,,"Marion, Gilbert",Gilbert Marion
,Robert Markle,,,P10337,,"Markle, Robert",Robert Markle
,Ron Martin,,,P10338,,"Martin, Ron",Ron Martin
